       1.055630977335e-05       1.977500354800e+07       1.977500289548e+07       2.635296449724e+07       2.635256808991e+07       0.000000000000e+00       1.977691852074e+07 
       1.184437437503e-05       1.977499673405e+07       1.977499591259e+07       2.634940742133e+07       2.634890842942e+07       0.000000000000e+00       1.977691063562e+07 
       1.328960662845e-05       1.977498795420e+07       1.977498692007e+07       2.634492968591e+07       2.634430158033e+07       0.000000000000e+00       1.977690050743e+07 
       1.491118388753e-05       1.977497733296e+07       1.977497603111e+07       2.633929412332e+07       2.633850352314e+07       0.000000000000e+00       1.977688818906e+07 
       1.673062349730e-05       1.977496362432e+07       1.977496198545e+07       2.633220049607e+07       2.633120541084e+07       0.000000000000e+00       1.977687234432e+07 
       1.877206831595e-05       1.977494647526e+07       1.977494441216e+07       2.632327279165e+07       2.632202040405e+07       0.000000000000e+00       1.977685250681e+07 
       2.106260707591e-05       1.977492465273e+07       1.977492205561e+07       2.631203712633e+07       2.631046101859e+07       0.000000000000e+00       1.977682730089e+07 
       2.363263383488e-05       1.977489732524e+07       1.977489405592e+07       2.629789872897e+07       2.629591540309e+07       0.000000000000e+00       1.977679571586e+07 
       2.651625128650e-05       1.977486279923e+07       1.977485868382e+07       2.628010931106e+07       2.627761384244e+07       0.000000000000e+00       1.977675583289e+07 
       2.975172328236e-05       1.977481939647e+07       1.977481421613e+07       2.625772958273e+07       2.625459017764e+07       0.000000000000e+00       1.977670569083e+07 
       3.338198257009e-05       1.977476477071e+07       1.977475825010e+07       2.622958012348e+07       2.622563133329e+07       0.000000000000e+00       1.977664258827e+07 
       3.745520048483e-05       1.977469603445e+07       1.977468782715e+07       2.619418156808e+07       2.618921585833e+07       0.000000000000e+00       1.977656319218e+07 
       4.202542615356e-05       1.977460949492e+07       1.977459916518e+07       2.614967990141e+07       2.614343719290e+07       0.000000000000e+00       1.977646325144e+07 
       4.715330369420e-05       1.977450060721e+07       1.977448760703e+07       2.609375459860e+07       2.608590934125e+07       0.000000000000e+00       1.977633752225e+07 
       5.290687692619e-05       1.977436354049e+07       1.977434718083e+07       2.602350530592e+07       2.601365061389e+07       0.000000000000e+00       1.977617930023e+07 
       5.936249227067e-05       1.977419105385e+07       1.977417046875e+07       2.593531420420e+07       2.592294253193e+07       0.000000000000e+00       1.977598025479e+07 
       6.660581182105e-05       1.977397399919e+07       1.977394810072e+07       2.582467937769e+07       2.580915912995e+07       0.000000000000e+00       1.977572988176e+07 
       7.473295002698e-05       1.977370090899e+07       1.977366833102e+07       2.568601625621e+07       2.566656390215e+07       0.000000000000e+00       1.977541503127e+07 
       8.385174907470e-05       1.977335737820e+07       1.977331640657e+07       2.551242466659e+07       2.548807208062e+07       0.000000000000e+00       1.977501921940e+07 
       9.408320988731e-05       1.977292529190e+07       1.977287377750e+07       2.529542238429e+07       2.526497941700e+07       0.000000000000e+00       1.977452177536e+07 
       1.055630977335e-04       1.977238197080e+07       1.977231722211e+07       2.502465104595e+07       2.498666424357e+07       0.000000000000e+00       1.977389689806e+07 
       1.184437437503e-04       1.977169901397e+07       1.977161766474e+07       2.468756938078e+07       2.464027885585e+07       0.000000000000e+00       1.977311240593e+07 
       1.328960662845e-04       1.977084081356e+07       1.977073866085e+07       2.426916344078e+07       2.421046227300e+07       0.000000000000e+00       1.977212816357e+07 
       1.491118388753e-04       1.976976294759e+07       1.976963475513e+07       2.375172791876e+07       2.367913139954e+07       0.000000000000e+00       1.977089440732e+07 
       1.673062349730e-04       1.976840998391e+07       1.976824924590e+07       2.311480628149e+07       2.302544369462e+07       0.000000000000e+00       1.976934952912e+07 
       1.877206831595e-04       1.976671296613e+07       1.976651162688e+07       2.233542977980e+07       2.222607813480e+07       0.000000000000e+00       1.976741763123e+07 
       2.106260707591e-04       1.976458640948e+07       1.976433453836e+07       2.138886128906e+07       2.125605096872e+07       0.000000000000e+00       1.976500574126e+07 
       2.363263383488e-04       1.976192462498e+07       1.976161004737e+07       2.025013446190e+07       2.009036740410e+07       0.000000000000e+00       1.976200059237e+07 
       2.651625128650e-04       1.975859758887e+07       1.975820548380e+07       1.889675994545e+07       1.870689430576e+07       0.000000000000e+00       1.975826529660e+07 
       2.975172328236e-04       1.975444635129e+07       1.975395883795e+07       1.731301799765e+07       1.709088084501e+07       0.000000000000e+00       1.975363603006e+07 
       3.338198257009e-04       1.974927771003e+07       1.974867346368e+07       1.549618923619e+07       1.524147121233e+07       0.000000000000e+00       1.974791856023e+07 
       3.745520048483e-04       1.974285889040e+07       1.974211285293e+07       1.346475661598e+07       1.318020003978e+07       0.000000000000e+00       1.974088536438e+07 
       4.202542615356e-04       1.973491215033e+07       1.973399544341e+07       1.126782523669e+07       1.096061367304e+07       0.000000000000e+00       1.973227303308e+07 
       4.715330369420e-04       1.972510967582e+07       1.972398985277e+07       8.993535290760e+06       8.676583664009e+06       0.000000000000e+00       1.972177965544e+07 
       5.290687692619e-04       1.971306945907e+07       1.971171129124e+07       6.771986252144e+06       6.464516641885e+06       0.000000000000e+00       1.970906154507e+07 
       5.936249227067e-04       1.969835201516e+07       1.969671902990e+07       4.765720631314e+06       4.492134251698e+06       0.000000000000e+00       1.969372709719e+07 
       6.660581182105e-04       1.968045811980e+07       1.967851509244e+07       3.140035987554e+06       2.925912822603e+06       0.000000000000e+00       1.967532568513e+07 
       7.473295002698e-04       1.965882616046e+07       1.965654268361e+07       2.010313065961e+06       1.874913920017e+06       0.000000000000e+00       1.965332942298e+07 
