       1.049780529249e-05       5.042002726141e+01 
       1.177873126784e-05       5.634141886959e+01 
       1.321595385078e-05       6.295821312847e+01 
       1.482854411178e-05       7.035207542308e+01 
       1.663790014385e-05       7.861425689705e+01 
       1.866803100223e-05       8.784671938693e+01 
       2.094587528999e-05       9.816339703049e+01 
       2.350165861687e-05       1.096915978395e+02 
       2.636929467484e-05       1.225735691540e+02 
       2.958683525210e-05       1.369682493722e+02 
       3.319697515724e-05       1.530532228664e+02 
       3.724761875343e-05       1.710269014819e+02 
       4.179251562015e-05       1.911109556890e+02 
       4.689197377751e-05       2.135530354502e+02 
       5.261365993701e-05       2.386297919383e+02 
       5.903349739770e-05       2.666502549036e+02 
       6.623667350220e-05       2.979595881446e+02 
       7.431877002105e-05       3.329432682359e+02 
       8.338703146464e-05       3.720317314091e+02 
       9.356178815278e-05       4.157055251775e+02 
       1.049780529249e-04       4.645010179417e+02 
       1.177873126784e-04       5.190167104461e+02 
       1.321595385078e-04       5.799201901505e+02 
       1.482854411178e-04       6.479557680439e+02 
       1.663790014385e-04       7.239528323153e+02 
       1.866803100223e-04       8.088349316370e+02 
       2.094587528999e-04       9.036295857893e+02 
       2.350165861687e-04       1.009478795219e+03 
       2.636929467484e-04       1.127650181329e+03 
       2.958683525210e-04       1.259548648431e+03 
       3.319697515724e-04       1.406728403801e+03 
       3.724761875343e-04       1.570905109090e+03 
       4.179251562015e-04       1.753967921998e+03 
       4.689197377751e-04       1.957991047478e+03 
       5.261365993701e-04       2.185244491540e+03 
       5.903349739770e-04       2.438203511019e+03 
       6.623667350220e-04       2.719556137165e+03 
       7.431877002105e-04       3.032207720850e+03 
       8.338703146464e-04       3.379280724170e+03 
       9.356178815278e-04       3.764106839684e+03 
       1.049780529249e-03       4.190207823240e+03 
       1.177873126784e-03       4.661261317302e+03 
       1.321595385078e-03       5.181049775389e+03 
       1.482854411178e-03       5.753325790213e+03 
       1.663790014385e-03       6.381889204774e+03 
       1.866803100223e-03       7.070341013070e+03 
       2.094587528999e-03       7.821935753469e+03 
       2.350165861687e-03       8.639403451958e+03 
       2.636929467484e-03       9.524723704034e+03 
       2.958683525210e-03       1.047886153157e+04 
       3.319697515724e-03       1.150146887098e+04 
       3.724761875343e-03       1.259053711533e+04 
       4.179251562015e-03       1.374197335373e+04 
       4.689197377751e-03       1.494911260640e+04 
       5.261365993701e-03       1.620214581257e+04 
       5.903349739770e-03       1.748800182723e+04 
       6.623667350220e-03       1.878931551806e+04 
       7.431877002105e-03       2.008432939988e+04 
       8.338703146464e-03       2.134570271459e+04 
       9.356178815278e-03       2.254093707884e+04 
       1.049780529249e-02       2.363149861621e+04 
       1.177873126784e-02       2.457310327814e+04 
       1.321595385078e-02       2.531623093715e+04 
       1.482854411178e-02       2.580762318106e+04 
       1.663790014333e-02       2.599351053784e+04 
       1.866803097148e-02       2.582419617322e+04 
       2.094587419859e-02       2.526204607979e+04 
       2.350163430012e-02       2.429158894582e+04 
       2.636893815457e-02       2.293150675500e+04 
       2.958324071416e-02       2.124644485403e+04 
       3.317108724934e-02       1.935752931733e+04 
       3.711108052838e-02       1.744754608854e+04 
       4.126190385128e-02       1.573646997503e+04 
       4.536438831394e-02       1.438407782821e+04 
       4.921902482514e-02       1.339759196455e+04 
       5.279167054904e-02       1.268408670874e+04 
       5.613561845899e-02       1.214446848081e+04 
       5.931603026175e-02       1.170517282855e+04 
       6.238668089798e-02       1.131535401150e+04 
       6.538831182652e-02       1.094081347387e+04 
       6.835155584425e-02       1.055847237767e+04 
       7.129985851645e-02       1.015422022975e+04 
       7.425164301814e-02       9.721264653058e+03 
       7.722180642331e-02       9.259060766053e+03 
       8.022274152802e-02       8.772453055796e+03 
       8.326504001715e-02       8.270628586839e+03 
       8.635798353328e-02       7.765900268801e+03 
       8.950989243954e-02       7.272138322010e+03 
       9.272837768101e-02       6.803283310380e+03 
       9.602052550487e-02       6.371814614555e+03 
       9.939303480882e-02       5.987398888292e+03 
       1.028523204600e-01       5.655831319876e+03 
       1.064045917427e-01       5.378433646166e+03 
       1.100559123315e-01       5.151708043847e+03 
       1.138122463413e-01       4.967534943207e+03 
       1.176794937557e-01       4.813638800720e+03 
       1.216635176834e-01       4.674719396273e+03 
       1.257701653061e-01       4.534325037547e+03 
       1.300052839777e-01       4.377440959890e+03 
       1.343747336595e-01       4.193440316654e+03 
       1.388843966856e-01       3.978754283135e+03 
       1.435401857298e-01       3.738064027264e+03 
       1.483480507614e-01       3.483450744980e+03 
       1.533139857273e-01       3.231592522125e+03 
       1.584440356665e-01       2.999675192862e+03 
       1.637443049485e-01       2.801000396640e+03 
       1.692209673166e-01       2.641714964449e+03 
       1.748802784171e-01       2.519209736396e+03 
       1.807285914931e-01       2.422725333352e+03 
       1.867723769281e-01       2.336841164982e+03 
       1.930182463264e-01       2.244563891392e+03 
       1.994729818325e-01       2.133248203647e+03 
       2.061435714084e-01       2.001354308990e+03 
       2.130372508245e-01       1.858601314766e+03 
       2.201615531692e-01       1.720163842752e+03 
       2.275243667672e-01       1.599234486131e+03 
       2.351340025109e-01       1.502362743560e+03 
       2.429992717812e-01       1.427193707601e+03 
       2.511295763607e-01       1.362926781202e+03 
       2.595350120567e-01       1.296453121796e+03 
       2.682264881651e-01       1.220368188976e+03 
       2.772158654509e-01       1.136334930465e+03 
       2.865161160364e-01       1.053510034005e+03 
       2.961415095162e-01       9.817659870322e+02 
       3.061078308311e-01       9.234999148573e+02 
       3.164326370224e-01       8.734076836458e+02 
       3.271355620734e-01       8.235817172846e+02 
